Tempo;X_Bruto;X_Suavizado
16:09:55.809;470,00;470,00
16:09:55.859;470,00;470,00
16:09:55.910;470,00;470,00
16:09:55.960;470,00;470,00
16:09:56.010;470,00;470,00
16:09:56.060;470,00;470,00
16:09:56.110;470,00;470,00
16:09:56.161;470,00;470,00
16:09:56.211;470,00;470,00
16:09:56.261;470,00;470,00
16:09:56.311;470,00;470,00
16:09:56.362;470,00;470,00
16:09:56.412;470,00;470,00
16:09:56.462;470,00;470,00
16:09:56.512;470,00;470,00
16:09:56.563;470,00;470,00
16:09:56.613;470,00;470,00
16:09:56.663;470,00;470,00
16:09:56.713;470,00;470,00
16:09:56.763;470,00;470,00
16:09:56.814;470,00;470,00
16:09:56.864;470,00;470,00
16:09:56.914;470,00;470,00
16:09:56.964;470,00;470,00
16:09:57.014;470,00;470,00
16:09:57.065;470,00;470,00
