Tempo;Gesto
16:02:46.184;ABERTA
16:02:46.215;ABERTA
16:02:46.246;ABERTA
16:02:46.278;ABERTA
16:02:46.310;ABERTA
16:02:46.341;ABERTA
16:02:46.372;ABERTA
16:02:46.403;ABERTA
16:02:46.435;ABERTA
16:02:46.466;ABERTA
16:02:46.498;ABERTA
16:02:46.530;ABERTA
16:02:46.562;ABERTA
16:02:46.593;ABERTA
16:02:46.624;ABERTA
16:02:46.656;ABERTA
16:02:46.688;ABERTA
16:02:46.719;ABERTA
16:02:46.751;ABERTA
16:02:46.782;ABERTA
16:02:46.814;ABERTA
16:02:46.846;ABERTA
16:02:46.878;ABERTA
16:02:46.909;ABERTA
16:02:46.940;ABERTA
16:02:46.972;ABERTA
16:02:47.003;ABERTA
16:02:47.035;ABERTA
16:02:47.066;ABERTA
16:02:47.097;ABERTA
16:02:47.128;ABERTA
16:02:47.160;ABERTA
16:02:47.192;ABERTA
16:02:47.223;ABERTA
16:02:47.255;ABERTA
16:02:47.286;ABERTA
16:02:47.317;ABERTA
16:02:47.349;ABERTA
16:02:47.380;ABERTA
16:02:47.412;ABERTA
16:02:47.443;ABERTA
16:02:47.475;ABERTA
16:02:47.506;ABERTA
16:02:47.538;ABERTA
16:02:47.569;ABERTA
16:02:47.600;FECHADA
16:02:47.632;FECHADA
16:02:47.664;FECHADA
16:02:47.695;FECHADA
16:02:47.726;FECHADA
16:02:47.758;FECHADA
16:02:47.789;FECHADA
16:02:47.821;FECHADA
16:02:47.852;FECHADA
16:02:47.883;FECHADA
16:02:47.915;FECHADA
16:02:47.947;FECHADA
16:02:47.978;FECHADA
16:02:48.010;FECHADA
16:02:48.041;FECHADA
16:02:48.073;FECHADA
16:02:48.105;FECHADA
16:02:48.136;FECHADA
16:02:48.168;FECHADA
16:02:48.199;FECHADA
16:02:48.230;FECHADA
16:02:48.262;FECHADA
16:02:48.295;FECHADA
16:02:48.327;FECHADA
16:02:48.358;FECHADA
16:02:48.389;FECHADA
16:02:48.421;FECHADA
16:02:48.452;FECHADA
16:02:48.484;FECHADA
16:02:48.515;FECHADA
16:02:48.547;FECHADA
16:02:48.578;FECHADA
16:02:48.611;FECHADA
16:02:48.643;FECHADA
16:02:48.677;FECHADA
16:02:48.708;FECHADA
16:02:48.739;FECHADA
16:02:48.771;FECHADA
16:02:48.802;FECHADA
16:02:48.834;FECHADA
16:02:48.865;FECHADA
16:02:48.897;FECHADA
16:02:48.928;FECHADA
16:02:48.959;FECHADA
16:02:48.991;FECHADA
16:02:49.022;FECHADA
16:02:49.054;FECHADA
16:02:49.085;FECHADA
16:02:49.117;FECHADA
16:02:49.148;FECHADA
16:02:49.179;FECHADA
16:02:49.211;FECHADA
16:02:49.243;FECHADA
16:02:49.274;FECHADA
16:02:49.306;FECHADA
16:02:49.337;FECHADA
16:02:49.369;FECHADA
16:02:49.401;FECHADA
16:02:49.433;FECHADA
16:02:49.464;FECHADA
16:02:49.495;FECHADA
16:02:49.527;FECHADA
16:02:49.559;FECHADA
16:02:49.590;FECHADA
16:02:49.622;FECHADA
16:02:49.653;FECHADA
16:02:49.685;FECHADA
16:02:49.716;FECHADA
16:02:49.748;FECHADA
16:02:49.780;FECHADA
16:02:49.811;FECHADA
16:02:49.843;FECHADA
16:02:49.875;FECHADA
16:02:49.907;FECHADA
16:02:49.938;FECHADA
16:02:49.970;FECHADA
16:02:50.002;FECHADA
16:02:50.033;FECHADA
16:02:50.065;FECHADA
16:02:50.097;FECHADA
16:02:50.129;FECHADA
16:02:50.160;FECHADA
16:02:50.191;FECHADA
16:02:50.222;FECHADA
16:02:50.254;FECHADA
16:02:50.286;FECHADA
16:02:50.317;FECHADA
16:02:50.349;FECHADA
16:02:50.381;FECHADA
16:02:50.413;FECHADA
16:02:50.444;FECHADA
16:02:50.476;FECHADA
16:02:50.508;FECHADA
16:02:50.540;FECHADA
16:02:50.572;FECHADA
16:02:50.603;FECHADA
16:02:50.635;FECHADA
16:02:50.666;FECHADA
16:02:50.697;FECHADA
16:02:50.729;FECHADA
16:02:50.761;FECHADA
16:02:50.792;FECHADA
16:02:50.824;FECHADA
16:02:50.856;FECHADA
16:02:50.887;FECHADA
16:02:50.918;FECHADA
16:02:50.950;FECHADA
16:02:50.981;FECHADA
16:02:51.013;FECHADA
16:02:51.045;FECHADA
16:02:51.076;FECHADA
16:02:51.108;FECHADA
16:02:51.139;FECHADA
16:02:51.171;ABERTA
16:02:51.203;ABERTA
16:02:51.235;ABERTA
16:02:51.267;ABERTA
16:02:51.298;ABERTA
16:02:51.330;ABERTA
16:02:51.362;FECHADA
16:02:51.393;FECHADA
16:02:51.425;FECHADA
16:02:51.457;FECHADA
16:02:51.488;FECHADA
16:02:51.520;FECHADA
16:02:51.551;FECHADA
16:02:51.583;FECHADA
16:02:51.615;FECHADA
16:02:51.647;FECHADA
16:02:51.679;FECHADA
16:02:51.712;FECHADA
16:02:51.743;FECHADA
16:02:51.775;FECHADA
16:02:51.806;FECHADA
16:02:51.838;FECHADA
16:02:51.870;FECHADA
16:02:51.901;ABERTA
16:02:51.932;ABERTA
16:02:51.964;ABERTA
16:02:51.995;ABERTA
16:02:52.026;ABERTA
16:02:52.057;ABERTA
16:02:52.089;ABERTA
16:02:52.121;ABERTA
16:02:52.152;ABERTA
16:02:52.184;ABERTA
16:02:52.216;ABERTA
16:02:52.247;ABERTA
16:02:52.279;ABERTA
16:02:52.310;ABERTA
16:02:52.342;ABERTA
16:02:52.374;ABERTA
16:02:52.406;ABERTA
16:02:52.442;ABERTA
16:02:52.474;ABERTA
16:02:52.505;ABERTA
16:02:52.537;ABERTA
16:02:52.571;ABERTA
16:02:52.605;ABERTA
16:02:52.637;ABERTA
16:02:52.668;ABERTA
16:02:52.699;ABERTA
16:02:52.731;ABERTA
16:02:52.764;ABERTA
16:02:52.797;ABERTA
16:02:52.828;ABERTA
16:02:52.859;ABERTA
16:02:52.891;ABERTA
16:02:52.922;ABERTA
16:02:52.953;ABERTA
16:02:52.985;ABERTA
16:02:53.017;ABERTA
16:02:53.049;ABERTA
16:02:53.080;ABERTA
16:02:53.113;ABERTA
16:02:53.144;ABERTA
16:02:53.175;ABERTA
16:02:53.207;ABERTA
16:02:53.238;ABERTA
16:02:53.270;ABERTA
16:02:53.301;ABERTA
16:02:53.333;ABERTA
16:02:53.365;ABERTA
16:02:53.396;ABERTA
16:02:53.428;ABERTA
16:02:53.460;ABERTA
16:02:53.491;ABERTA
16:02:53.523;ABERTA
16:02:53.555;ABERTA
16:02:53.586;ABERTA
16:02:53.618;ABERTA
16:02:53.650;ABERTA
16:02:53.681;ABERTA
16:02:53.712;ABERTA
16:02:53.744;ABERTA
16:02:53.776;ABERTA
16:02:53.808;ABERTA
16:02:53.839;ABERTA
16:02:53.871;ABERTA
16:02:53.903;ABERTA
16:02:53.934;ABERTA
16:02:53.965;ABERTA
16:02:53.997;ABERTA
16:02:54.029;ABERTA
16:02:54.061;ABERTA
16:02:54.093;ABERTA
16:02:54.124;ABERTA
16:02:54.156;ABERTA
16:02:54.188;ABERTA
16:02:54.219;ABERTA
16:02:54.251;ABERTA
16:02:54.282;ABERTA
16:02:54.313;ABERTA
16:02:54.345;ABERTA
16:02:54.377;ABERTA
16:02:54.409;ABERTA
16:02:54.441;ABERTA
16:02:54.472;ABERTA
16:02:54.503;ABERTA
16:02:54.534;ABERTA
16:02:54.566;ABERTA
16:02:54.597;ABERTA
16:02:54.628;ABERTA
